,league,season,game,team,player,jersey_number,nation,pos,age,min,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,game_id
,,,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
847,ENG-Premier League,2324,2023-08-27 Sheffield Utd-Manchester City,Manchester City,Erling Haaland,9,NOR,FW,23-037,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0844ff10
848,ENG-Premier League,2324,2023-08-27 Sheffield Utd-Manchester City,Manchester City,Jack Grealish,10,ENG,LW,27-351,90,1,0,0,1,0,0,0,,0,1,0,1,0,1,0,0,0844ff10
849,ENG-Premier League,2324,2023-08-27 Sheffield Utd-Manchester City,Manchester City,Joško Gvardiol,24,CRO,LB,21-216,90,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,0844ff10
850,ENG-Premier League,2324,2023-08-27 Sheffield Utd-Manchester City,Manchester City,Julián Álvarez,19,ARG,AM,23-208,90,0,0,0,0,0,0,2,0.0,2,3,0,3,1,1,0,0,0844ff10
851,ENG-Premier League,2324,2023-08-27 Sheffield Utd-Manchester City,Manchester City,Kyle Walker,2,ENG,RB,33-091,90,1,1,0,1,0,1,1,100.0,0,1,0,1,0,1,1,0,0844ff10
852,ENG-Premier League,2324,2023-08-27 Sheffield Utd-Manchester City,Manchester City,Mateo Kovačić,8,CRO,DM,29-113,85,1,1,1,0,0,1,2,50.0,1,2,0,2,0,1,1,0,0844ff10
853,ENG-Premier League,2324,2023-08-27 Sheffield Utd-Manchester City,Manchester City,Nathan Aké,6,NED,CB,28-190,90,1,0,0,1,0,1,2,50.0,1,0,0,0,2,3,3,0,0844ff10
854,ENG-Premier League,2324,2023-08-27 Sheffield Utd-Manchester City,Manchester City,Phil Foden,47,ENG,RW,23-091,5,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,0844ff10
855,ENG-Premier League,2324,2023-08-27 Sheffield Utd-Manchester City,Manchester City,Rodri,16,ESP,DM,27-066,90,3,3,1,2,0,1,3,33.3,2,1,0,1,1,4,1,0,0844ff10
856,ENG-Premier League,2324,2023-08-27 Sheffield Utd-Manchester City,Manchester City,Rúben Dias,3,POR,CB,26-105,90,2,1,1,1,0,1,1,100.0,0,1,1,0,0,2,0,0,0844ff10
1043,ENG-Premier League,2324,2023-09-02 Manchester City-Fulham,Manchester City,Bernardo Silva,20,POR,DM,29-023,15,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,88066bdf
1044,ENG-Premier League,2324,2023-09-02 Manchester City-Fulham,Manchester City,Ederson,31,BRA,GK,30-016,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,88066bdf
1045,ENG-Premier League,2324,2023-09-02 Manchester City-Fulham,Manchester City,Erling Haaland,9,NOR,FW,23-043,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,88066bdf
